"id","median_house_value","median_income","housing_median_age","total_rooms","total_bedrooms","population","households","latitude","longitude"
91,11.9984332807519,2.0938,16,994,392,800,362,37.8,-122.27
92,11.8313791960888,0.8668,52,215,87,904,88,37.8,-122.28
93,11.9984332807519,0.75,52,96,31,191,34,37.8,-122.28
94,12.1415341243926,2.6354,27,1055,347,718,302,37.79,-122.27
95,12.096257779523,1.8477,39,1715,623,1327,467,37.8,-122.27
97,12.1216034889037,2.8345,31,4596,1331,2048,1180,37.82,-122.26
101,12.4599393694872,2.4912,29,4656,1414,2304,1250,37.81,-122.25
102,12.518691203272,3.2177,28,5806,1603,2563,1497,37.81,-122.25
103,12.3779229024568,3.125,39,854,242,389,228,37.81,-122.25
104,12.7656884334656,2.5795,52,2155,701,895,613,37.81,-122.25
105,12.7239731829681,2.8406,34,5871,1914,2689,1789,37.81,-122.26
107,12.5006061929311,3.2727,52,2026,482,709,456,37.81,-122.24
108,12.4661265508645,3.1691,52,1758,460,686,422,37.81,-122.25
109,12.5270685970119,3.9,52,3481,751,1444,718,37.82,-122.24
110,12.3238556811866,3.9063,28,3337,855,1520,802,37.82,-122.25
111,12.4780063610138,5.0917,52,1424,289,550,253,37.82,-122.25
112,12.2945412935178,2.6429,32,3809,1098,1806,1022,37.82,-122.25
113,12.4490188241406,3.0233,26,3959,1196,1749,1217,37.82,-122.25
114,12.319847659789,3.1484,52,2376,559,939,519,37.83,-122.25
115,12.4012281603042,3.4722,35,1613,428,675,422,37.83,-122.25
116,12.352767024681,3.1429,52,1279,287,534,291,37.83,-122.25
119,12.6995486309611,5.8596,50,2515,399,970,373,37.84,-122.23
120,12.7588076723734,5.2868,47,3175,454,1098,485,37.84,-122.23
122,12.7218858108072,4.9643,37,334,54,98,47,37.85,-122.24
123,12.8309409853368,6.3434,52,2800,411,1061,403,37.85,-122.23
125,12.8767185607436,7.2354,52,2612,365,901,367,37.85,-122.24
126,12.7287280210497,5.457,28,5287,1048,2031,956,37.85,-122.22
128,12.5855359510993,6.0194,44,3424,597,1358,597,37.84,-122.21
129,12.9275642990993,7.5544,40,4991,674,1616,654,37.83,-122.21
130,12.6491546172096,6.0666,30,2211,346,844,343,37.84,-122.2
131,12.6943458648257,7.0548,34,3038,490,1140,496,37.84,-122.21
134,12.7167982642958,6.8976,34,5065,788,1627,766,37.83,-122.21
135,12.7224826475901,8.2049,28,1326,184,463,190,37.83,-122.19
136,12.7691111407431,8.401,26,1589,223,542,211,37.83,-122.2
137,12.8182808835848,6.8538,29,1791,271,661,269,37.83,-122.19
138,12.8101153510073,8.317,32,1835,264,635,263,37.82,-122.19
139,12.8122993540594,7.0175,37,1229,181,420,176,37.82,-122.2
141,13.0883928578332,6.3624,30,292,38,126,52,37.81,-122.18
142,12.7110813839746,7.0549,52,2375,333,813,350,37.82,-122.21
143,12.6869543929231,6.7851,45,2964,436,1067,426,37.81,-122.2
144,12.2862691875245,2.8929,50,2833,605,1260,552,37.8,-122.21
145,12.3592228250238,3.0812,38,2254,535,951,487,37.8,-122.21
147,12.5197878950288,6.5217,52,1971,335,765,308,37.81,-122.22
149,12.2040706428595,3.0298,52,2286,464,1073,441,37.8,-122.22
152,12.6185133673748,5.3509,52,2944,536,1034,521,37.81,-122.22
155,12.8741583954947,8.1564,52,2927,402,1021,380,37.81,-122.22
158,12.5682822449674,6.0302,52,1490,238,634,256,37.81,-122.24
159,12.7619672326637,7.508,52,2814,365,878,352,37.81,-122.23
160,12.4041034960293,2.7477,52,2093,550,918,483,37.81,-122.24
163,12.5058067990061,3.675,52,2513,502,1048,518,37.81,-122.24
164,12.29591334953,3.225,46,3232,835,1373,747,37.81,-122.25
165,12.3238556811866,2.9345,42,4120,1065,1715,1015,37.8,-122.25
166,12.4292161968444,2.1429,43,2364,792,1359,722,37.8,-122.25
167,12.0517552851458,1.6121,41,1471,469,1062,413,37.8,-122.25
168,12.1745819784388,1.3929,29,2468,864,1335,773,37.8,-122.25
169,11.7360690162844,2.3173,27,1632,492,1171,429,37.79,-122.24
170,11.4876076569859,1.7772,45,1786,526,1475,460,37.79,-122.25
171,11.7360690162844,2.6458,50,629,188,742,196,37.79,-122.25
172,11.8407893270548,2.181,52,1339,391,1086,363,37.79,-122.25
173,11.6673618182746,2.2303,36,1678,606,1645,543,37.8,-122.25
174,11.9303191439437,1.6504,43,2344,647,1710,644,37.8,-122.25
175,11.7519423654407,2.2697,52,996,228,731,228,37.8,-122.24
177,11.8536742583587,2.1348,52,1586,398,1006,335,37.8,-122.24
179,11.897507362162,2.3833,52,1192,289,772,257,37.8,-122.23
181,12.0394275681212,2.5238,49,2838,749,1487,677,37.8,-122.24
182,11.7487877886922,1.9375,52,783,184,488,186,37.8,-122.23
183,11.7590039875669,1.9028,51,1590,414,949,392,37.8,-122.23
184,11.7239964350502,2.25,50,1746,480,1149,415,37.8,-122.23
185,11.6253608943,2.3929,52,1252,299,844,280,37.8,-122.23
186,11.6333716180461,2.1917,43,5963,1344,4367,1231,37.79,-122.23
188,11.8313791960888,1.8854,30,999,264,1011,263,37.79,-122.23
191,11.662207167686,3.375,52,674,180,647,168,37.79,-122.24
193,11.2252433925184,2.1,51,175,43,228,55,37.79,-122.25
194,11.6307085006266,1.6,39,461,129,381,123,37.79,-122.25
195,11.7360690162844,3.625,52,902,237,846,227,37.79,-122.25
199,11.1844213979982,2.57,52,769,206,612,183,37.77,-122.23
201,11.2997322445092,3.0257,52,862,215,994,213,37.78,-122.23
202,11.7660160926524,1.4886,50,1920,530,1525,477,37.78,-122.22
203,11.6307085006266,1.9338,43,1420,472,1506,438,37.78,-122.23
205,11.6792870021855,1.6009,44,2340,825,2813,751,37.78,-122.23
206,11.7158663089669,2.0375,48,1696,396,1481,343,37.79,-122.23
208,11.7943379244084,2.1494,37,2343,574,1608,523,37.79,-122.22
210,11.6377944470161,1.3281,40,930,199,564,184,37.79,-122.23
211,11.6036798282387,3.5156,44,1487,314,961,272,37.79,-122.22
213,11.7360690162844,3.0893,52,762,190,600,195,37.79,-122.21
214,11.7336661316681,2.6042,46,2366,575,1647,527,37.79,-122.22
215,11.825544022712,2.5,49,1826,450,1201,424,37.79,-122.22
217,11.9183905730784,2.8321,29,1640,376,939,340,37.79,-122.2
219,11.8436670268825,2.8365,34,2364,557,1517,516,37.79,-122.21
222,11.9250351157971,3.0757,39,2018,447,1221,446,37.8,-122.21
223,12.5172270741671,4.9559,43,3045,499,1115,455,37.8,-122.2
224,12.2881133558664,4.7721,52,1547,293,706,268,37.8,-122.2
225,12.1393985122622,3.4861,52,3519,711,1883,706,37.8,-122.21
226,12.3867261452234,5.1184,41,2070,354,804,340,37.8,-122.2
228,12.4579979982698,4.744,48,1694,259,610,238,37.8,-122.19
229,12.4167386753333,4.2727,46,1938,341,768,332,37.8,-122.19
231,12.0411980023399,4.1739,40,1060,256,667,235,37.79,-122.2
232,12.2224379996164,3.8487,46,2041,405,1059,399,37.8,-122.2
233,12.4814290682913,4.0114,52,1813,271,637,277,37.8,-122.19
234,12.3536302098878,4.6563,45,2718,451,1106,454,37.79,-122.19
235,11.8529627677559,2.9297,28,3144,761,1737,669,37.79,-122.19
236,11.7440371859336,2.3036,35,1802,459,1009,390,37.79,-122.2
237,11.7117763237154,2.6667,49,882,195,737,210,37.79,-122.2
238,11.8108053623985,2.619,44,1621,452,1354,491,37.79,-122.2
241,11.8299235917561,2.7352,46,2239,508,1390,569,37.78,-122.21
242,11.8277362048103,1.8472,52,1477,300,1065,269,37.78,-122.21
243,11.8677987869623,2.6583,52,1056,224,792,245,37.78,-122.21
244,11.8313791960888,3.0536,49,898,244,779,245,37.78,-122.21
246,11.7503663209853,1.7188,43,1702,460,1227,407,37.78,-122.21
251,11.6877187553434,2.489,51,1637,463,1543,393,37.78,-122.22
253,11.2972539284947,4.0904,52,591,173,353,137,37.77,-122.21
254,11.3941419289803,2.6765,52,745,153,473,149,37.77,-122.21
256,11.4998402254216,2.3309,46,1234,375,1183,354,37.77,-122.21
257,11.5129254649702,2.2604,43,1017,328,836,277,37.77,-122.21
258,11.4327994204909,1.8039,42,932,254,900,263,37.77,-122.19
259,11.4595246882431,2.2562,39,2689,597,1888,537,37.77,-122.2
260,11.5327280922664,2.0562,41,1547,415,1024,341,37.77,-122.2
262,11.7084922485142,3.1167,39,1752,399,1071,376,37.78,-122.2
264,11.7068461576075,2.898,43,2430,502,1537,484,37.77,-122.2
265,11.5405406320032,2.3125,44,1729,414,1240,393,37.78,-122.21
266,11.982929094216,2.875,52,1026,180,469,168,37.78,-122.19
267,11.8768738928755,3.3715,52,2170,428,1086,425,37.77,-122.19
268,11.9263587427276,3.5114,52,2329,445,1144,417,37.77,-122.19
269,12.0100577616042,4.3125,52,2492,415,1109,375,37.78,-122.19
270,11.9608112889623,3.22,52,2198,397,984,369,37.78,-122.19
271,12.3238556811866,3.875,33,142,31,575,47,37.78,-122.18
273,12.0251501096499,3.7262,52,1070,193,555,190,37.78,-122.19
274,12.0045682693194,4.5893,45,1766,332,869,327,37.78,-122.2
276,12.3913066237712,7.0875,41,1411,233,626,214,37.79,-122.18
277,12.2457740123817,3.9712,46,2109,387,922,329,37.79,-122.18
280,12.7269476051492,5.4446,37,1643,262,620,266,37.81,-122.18
282,12.5630475444779,6.7527,23,2317,336,955,328,37.8,-122.18
284,12.8239573415896,5.9849,22,12842,2048,4985,1967,37.79,-122.16
285,11.9659100890464,3.6875,42,1524,260,651,267,37.78,-122.17
286,11.8152498141589,2.875,30,3326,746,1704,703,37.77,-122.17
287,11.825544022712,3.4205,43,1985,440,1085,407,37.78,-122.18
289,11.8536742583587,3.875,49,893,177,468,181,37.78,-122.17
290,11.8775685785581,4.175,52,653,128,296,121,37.78,-122.17
291,11.9947341396657,4.375,47,1256,217,570,218,37.77,-122.16
292,11.9595325164096,4.7708,48,977,194,446,180,37.77,-122.16
293,12.0782392740203,3.5739,45,2324,397,968,384,37.77,-122.16
294,11.8899910985567,3.0958,39,1583,349,857,316,37.77,-122.16
295,11.8628778631481,3.3958,39,1612,342,912,322,37.77,-122.17
297,11.4142094920311,1.9356,41,1594,367,1074,355,37.76,-122.17
300,11.4947614943426,2.4333,38,1764,397,987,354,37.76,-122.17
301,11.4019939042629,1.9479,50,1187,261,907,246,37.76,-122.18
302,11.4489201349943,3.9063,52,754,175,447,165,37.76,-122.18
304,11.4876076569859,2.0786,27,909,236,396,157,37.77,-122.18
306,11.4208101760624,1.8913,43,2018,408,1111,367,37.76,-122.18
307,11.4230007574422,1.7056,49,1368,282,790,269,37.76,-122.19
308,11.4741846366538,2.2768,52,2744,547,1479,554,37.77,-122.18
312,11.3586081045859,1.75,47,1116,259,826,279,37.76,-122.2
314,11.5268283701392,2.7159,45,1852,393,1132,349,37.77,-122.19
315,11.1913418408428,1.2083,41,921,207,522,159,37.76,-122.19
316,11.2131708112842,1.925,45,995,238,630,237,37.76,-122.19
317,11.1562505210315,1.5809,36,606,132,531,133,37.75,-122.2
318,11.3456895455943,1.4097,37,2680,736,1925,667,37.76,-122.2
319,11.3120325225908,0.7683,38,1493,370,1144,351,37.76,-122.19
320,11.3071305519906,1.3194,19,2207,565,1481,520,37.75,-122.19
321,11.3120325225908,0.8012,28,856,189,435,162,37.75,-122.19
324,11.3326019108389,2.3456,42,541,154,380,123,37.74,-122.18
326,11.3314035883468,2.5139,43,707,147,417,155,37.74,-122.19
327,11.3468708806401,1.2625,45,1528,291,801,287,37.73,-122.19
328,11.289781913656,2.9063,42,909,215,646,198,37.73,-122.18
329,11.2437379751546,2.5192,43,1391,293,855,285,37.73,-122.18
335,11.36789969292,2.1587,43,1473,371,1231,341,37.73,-122.17
336,11.413105129688,1.8438,35,504,126,323,109,37.74,-122.18
337,11.5861759267098,3.0298,46,1026,226,749,225,37.74,-122.17
338,11.3409502002304,2.25,46,769,183,693,178,37.74,-122.17
339,11.395267421502,2.2467,46,2103,391,1339,354,37.74,-122.18
340,11.298493854258,4.0469,45,330,76,282,80,37.75,-122.18
341,11.3748121628406,1.325,46,941,218,621,195,37.75,-122.18
342,11.3515823145615,1.6196,38,992,279,732,259,37.75,-122.17
346,11.3156932954405,1.712,36,1047,214,651,166,37.75,-122.18
347,11.3997567668646,2.5625,33,1280,307,999,286,37.76,-122.17
348,11.4957793061353,1.9821,43,1587,320,907,306,37.75,-122.17
349,11.4327994204909,2.5043,41,1257,271,828,230,37.75,-122.17
350,11.3941419289803,2.3281,44,1218,248,763,254,37.75,-122.17
352,11.4668815264688,2.5122,45,2299,514,1437,484,37.76,-122.16
353,11.4262776582446,1.5625,38,2457,624,1516,482,37.75,-122.16
354,11.5169174862398,3.1587,47,998,211,597,185,37.75,-122.17
355,11.4595246882431,1.8426,40,1685,343,949,342,37.76,-122.17
356,12.0094493040254,4.6696,46,1827,307,881,302,37.76,-122.16
357,11.9544010106014,2.4598,36,2781,574,1438,519,37.76,-122.16
358,12.1904512646272,6.0749,39,1823,286,763,270,37.76,-122.15
360,12.4403539412548,5.5701,34,1513,231,545,211,37.76,-122.14
361,12.5259798652767,5.37,26,3266,491,1222,533,37.76,-122.13
362,12.4292161968444,6.86,33,1809,261,808,219,37.75,-122.12
365,12.4525420221479,6.8323,33,1334,200,579,202,37.75,-122.14
366,12.6478696828857,4.975,30,414,54,137,50,37.75,-122.13
367,12.7068479334427,5.3602,36,768,93,229,93,37.75,-122.13
369,11.869900363918,2.925,46,954,161,429,154,37.75,-122.16
371,11.8189384941067,3.225,44,1938,399,946,331,37.75,-122.15
372,11.7798944958245,3.1458,41,856,178,571,191,37.74,-122.15
374,11.6181859756277,2.5568,44,617,131,378,135,37.75,-122.16
379,11.4349639235005,2.2917,34,1223,281,824,280,37.74,-122.17
381,11.60276616897,4.0417,43,1534,300,826,295,37.74,-122.16
382,11.7714361601217,3.4844,46,1029,181,567,211,37.74,-122.16
384,11.4947614943426,2.625,47,824,223,533,166,37.74,-122.16
388,12.4138994927325,3.4732,52,2248,422,870,377,37.89,-122.29
390,12.3419138684416,3.1375,52,1571,349,693,326,37.89,-122.29
393,12.2370866990593,3.0208,36,1077,293,518,276,37.89,-122.3
394,12.3072745260391,4.0875,52,1248,283,620,275,37.89,-122.3
395,12.2424045747776,4.5268,42,1342,291,551,266,37.89,-122.33
396,12.7656884334656,1.7375,37,3061,930,2556,924,37.88,-122.34
397,12.2931673523811,3.1795,52,3171,698,1498,696,37.89,-122.29
399,12.5083969947188,5.1675,52,979,175,374,153,37.89,-122.29
401,12.4734244515087,4.2614,52,1844,332,769,334,37.88,-122.28
402,12.3553543482459,5.0551,52,2178,421,940,423,37.89,-122.29
403,12.8357474031345,5.6228,42,1650,274,645,256,37.9,-122.27
405,12.8330800235856,7.9556,52,2079,273,684,275,37.9,-122.27
406,12.7905204091668,6.174,52,1803,240,572,236,37.9,-122.27
407,12.942039823273,6.9414,52,2041,270,671,253,37.9,-122.27
408,12.9727026028499,8.8342,52,3046,373,975,365,37.89,-122.27
409,12.8018825932012,7.1754,52,2318,328,779,312,37.9,-122.28
410,12.8916915596693,10.0825,52,2003,250,658,244,37.9,-122.28
411,12.7565035238885,4.9083,52,2261,328,819,335,37.9,-122.28
412,12.6980212135265,5.7912,52,1225,169,412,168,37.89,-122.28
413,12.5779809701095,4.5893,52,2315,408,835,369,37.89,-122.28
415,12.5095050280732,4.125,52,2616,473,1085,487,37.89,-122.28
417,12.7236752535752,5.3989,52,1978,293,723,272,37.89,-122.27
418,12.8247656401652,7.8336,37,2220,335,903,362,37.9,-122.26
420,12.7431506404402,6.381,52,3078,494,1005,462,37.89,-122.26
421,12.8236877634777,6.6828,52,3706,531,1205,504,37.89,-122.26
422,12.7656884334656,7.5385,37,3000,457,987,450,37.89,-122.25
424,12.8785067844926,6.2425,52,2551,417,894,404,37.88,-122.26
425,12.9367564296188,5.7979,52,2255,410,823,377,37.88,-122.26
426,12.559893520486,4.2813,52,3360,648,1232,621,37.88,-122.27
427,12.5689781392195,3.5417,52,1693,391,669,367,37.88,-122.27
428,12.5168607066964,3.0132,44,2252,592,989,550,37.88,-122.27
429,12.4668972638121,4.1429,52,2495,491,1058,464,37.88,-122.28
430,12.4470561149727,4.1912,52,1193,200,506,207,37.88,-122.28
431,12.3698907307596,3.9167,52,1172,215,489,218,37.88,-122.28
433,12.3423502638227,3.1065,48,2365,490,1034,475,37.88,-122.29
435,12.0968156595932,3.556,52,1650,395,841,380,37.88,-122.29
436,12.1415341243926,1.475,45,453,146,749,137,37.88,-122.3
437,11.8407893270548,1.6971,52,409,97,208,98,37.88,-122.3
438,11.9183905730784,2.1705,10,503,118,228,100,37.87,-122.3
439,11.8536742583587,2.75,50,499,127,287,128,37.86,-122.3
440,11.6952470217642,2.5682,52,477,119,218,106,37.85,-122.29
441,11.8831087589338,2.9,46,1647,376,854,355,37.88,-122.3
442,11.8831087589338,2.2208,52,3123,749,1695,684,37.87,-122.3
445,12.0650849522292,1.9805,49,2026,548,963,521,37.87,-122.28
446,12.1313490993342,2.6684,50,1829,536,1129,516,37.87,-122.29
447,12.115053247143,3.875,52,895,198,386,204,37.87,-122.29
448,12.3366622152338,3.006,52,1909,416,811,406,37.88,-122.28
449,12.3045595922448,2.543,46,3022,696,1293,675,37.87,-122.28
450,12.2643415536542,2.8676,46,1777,446,805,431,37.87,-122.28
451,12.5113490263829,2.1907,52,2803,930,1372,876,37.88,-122.27
452,12.5017228876311,1.7778,30,1465,439,862,425,37.87,-122.27
454,12.714395139078,4.2788,52,1149,255,483,249,37.88,-122.26
456,12.5689781392195,1.725,52,2604,837,1798,769,37.88,-122.26
457,12.8599591121368,5.2289,41,685,141,266,123,37.87,-122.25
458,12.8250349279007,2.5562,42,1756,465,2184,422,37.87,-122.25
459,12.7656884334656,0.949,52,1204,460,2016,477,37.87,-122.25
460,13.1223653774023,1.1696,52,609,236,1349,250,37.87,-122.25
461,12.0725412529057,1.4012,52,1087,371,3337,350,37.87,-122.26
462,12.3954525666916,1.1859,52,2773,998,1721,949,37.87,-122.26
463,12.2862691875245,1.7464,35,3218,1108,1675,1000,37.87,-122.27
464,12.2610342036041,2.8846,49,1350,368,707,350,37.87,-122.27
465,12.255814737425,2.7372,52,3084,698,1424,694,37.87,-122.27
467,12.1636869290337,3.5625,52,1813,353,828,339,37.87,-122.28
468,12.1134089606668,2.2788,52,1233,300,571,292,37.87,-122.28
469,12.0725412529057,2.537,44,2539,755,1382,713,37.87,-122.29
472,12.0094493040254,2.8214,52,1659,367,788,346,37.86,-122.28
473,11.9183905730784,2.6165,52,2225,460,1145,430,37.87,-122.29
474,11.9217183631711,1.9483,50,2485,607,1354,563,37.86,-122.29
475,12.04296530766,1.9327,52,2031,450,958,445,37.86,-122.28
476,11.9009052587374,1.9798,49,2932,668,1361,608,37.86,-122.28
478,12.1156007423661,2.5417,49,2052,435,924,414,37.86,-122.27
480,11.9684497729511,2.5652,52,3007,691,1582,636,37.86,-122.28
481,11.9388465816458,2.2845,41,2214,550,1213,568,37.86,-122.28
482,12.4292161968444,2.6071,52,1088,305,486,267,37.86,-122.27
486,12.4435135015452,1.6307,35,5161,1744,3276,1742,37.86,-122.26
487,12.4583865741442,2.9044,52,3497,832,1493,794,37.86,-122.26
488,12.5759105759952,2.9405,52,3774,744,1461,679,37.86,-122.26
489,12.3954525666916,3.3893,52,2888,604,1253,538,37.86,-122.26
490,13.1013440101803,3.0417,48,2153,517,1656,459,37.86,-122.25
491,13.0085225609806,7.0897,52,1389,191,514,202,37.86,-122.25
492,13.0309057669155,5.0463,52,1709,318,719,295,37.86,-122.25
493,12.7272445613503,1.7652,52,1587,444,878,449,37.86,-122.25
494,13.1223653774023,7.8521,52,1668,225,517,214,37.86,-122.24
496,12.8397351792552,5.3794,52,4048,663,1316,590,37.86,-122.25
497,12.6430364206977,3.2619,52,3618,768,1508,755,37.85,-122.26
499,12.0593112641348,2.2431,47,2077,400,719,326,37.85,-122.27
501,11.9421070996957,1.5817,52,1974,426,875,363,37.85,-122.27
502,11.57402056433,2.2841,52,335,83,152,77,37.85,-122.27
503,11.8656927840779,1.3785,47,1375,307,843,319,37.85,-122.27
504,11.6902344799406,2.9018,52,610,145,281,132,37.85,-122.28
505,11.9042916486989,1.73,44,1025,198,506,204,37.85,-122.28
506,11.7973522447013,2.2625,48,2063,484,1054,466,37.85,-122.28
507,11.7943379244084,2.2106,35,1872,419,1017,414,37.84,-122.29
509,11.8761787242691,4.0018,14,7355,2408,3100,2051,37.84,-122.3
510,13.1223653774023,7.8772,52,2990,379,947,361,37.83,-122.23
511,13.1223653774023,11.8603,39,2492,310,808,315,37.82,-122.22
513,13.1223653774023,12.2138,52,3242,366,1001,352,37.82,-122.23
514,13.0521554823608,8.1872,52,3051,381,1005,369,37.82,-122.23
515,13.1223653774023,12.3804,52,3494,396,1192,383,37.82,-122.23
516,13.0341876865006,5.8948,52,1757,246,585,227,37.83,-122.24
517,13.0638864476454,8.1194,52,2449,312,916,316,37.83,-122.24
520,12.7387576036491,5.883,52,2474,403,1104,398,37.82,-122.25
523,12.7158977689626,5.2915,52,1316,177,378,162,37.76,-122.23
524,12.3925522124728,2.6411,52,1153,235,481,223,37.77,-122.24
525,12.1526718688031,3.3214,52,772,179,409,160,37.77,-122.23
527,12.2816438323772,3.0161,52,2650,566,1468,567,37.77,-122.25
528,12.255814737425,3.1771,52,1038,220,482,215,37.77,-122.25
529,12.2491321349906,3.4531,52,1527,320,825,264,37.77,-122.25
530,12.1955171315907,4.3098,52,859,157,429,158,37.77,-122.25
531,12.2125516116279,3.3438,52,970,217,528,208,37.78,-122.26
532,12.1589810379963,2.9213,52,1045,239,496,216,37.78,-122.26
533,12.2448124738461,2.6806,52,1408,280,718,265,37.78,-122.27
534,12.2797876833525,3.7708,52,1222,264,630,265,37.78,-122.27
535,12.2685778508816,3.9444,45,1169,263,723,286,37.78,-122.27
536,12.58690347268,5.2601,13,2020,535,959,486,37.78,-122.27
538,12.2060726455302,2.6447,42,2038,368,2037,355,37.77,-122.3
539,12.0633563433286,2.5762,29,5154,1394,3741,1273,37.78,-122.28
541,12.3050125933851,2.9688,52,1468,363,870,347,37.77,-122.28
542,12.3999933381675,3.75,27,3997,1073,1901,966,37.77,-122.28
543,12.4889934008802,5.1702,18,2873,763,1243,663,37.76,-122.29
545,12.5500168969901,2.9732,52,1670,350,793,299,37.77,-122.26
547,12.3274049306977,4.1667,52,1731,377,872,363,37.77,-122.27
548,12.3050125933851,2.7115,52,1710,481,849,457,37.77,-122.27
549,12.3652108668685,3.3269,52,2388,559,1121,518,37.77,-122.27
550,12.4458766377375,3.2685,52,2156,458,872,445,37.77,-122.25
551,12.7708181112856,4.7778,52,1565,315,637,297,37.77,-122.26
554,12.3375394082725,2.9899,52,2097,444,915,413,37.77,-122.26
557,12.4024614595356,2.975,43,4329,1110,2086,1053,37.77,-122.25
558,12.5201531918365,5.1039,52,3011,542,1303,535,37.76,-122.23
559,12.4231981245188,4.1458,52,1049,185,374,176,37.76,-122.23
561,12.392137188603,2.6833,52,1846,471,827,446,37.76,-122.24
562,12.6323202928209,5.75,52,1705,246,658,253,37.76,-122.23
565,12.5658427943762,4.8711,27,4051,753,1499,797,37.75,-122.24
567,12.3449646443968,3.6719,49,2428,525,1110,492,37.76,-122.24
569,12.338853756764,4.5213,21,7031,1249,2930,1235,37.73,-122.24
570,12.236601850565,4.4562,25,1914,365,897,390,37.74,-122.25
571,12.7676864361283,7.611,5,18634,2885,7427,2718,37.72,-122.24
572,12.3501729895039,3.2689,31,5785,1379,2973,1312,37.73,-122.27
573,12.4407494326581,3.567,52,2876,648,1340,632,37.76,-122.25
574,12.7767696663336,3.6875,28,6909,1554,2974,1484,37.74,-122.27
575,12.5834811558558,4.7695,23,5679,1270,2690,1151,37.77,-122.27
